Mileage,Power,Transmission,Fuel,Drive_type,Doors,Seats,CO2_emissions,Engine_capacity,Emission_class,Year,Make,Body,Interior_material,price,Link
56460,123.0,1,1,0,1,5,119.0,998.0,3,2021,Ford,SUV / offroad,Part leather interior,18299,/car/69874465/ford-ecosport-1-0-ecoboost-titanium-92-kw
10,71.0,1,1,0,1,4,108.0,998.0,3,2024,Toyota,SUV / offroad,Cloth interior,19399,/car/69874284/toyota-aygo-x-1-0-53-kw
43500,101.0,0,1,0,0,4,122.0,1499.0,1,2018,MINI,Hatchback,Cloth interior,16399,/car/69874021/mini-one-75-kw
0,134.0,0,1,0,1,5,127.0,1199.0,3,2024,Citroën,SUV / offroad,Part leather interior,33649,/car/69873917/citroen-c5-aircross-hybrid-plus-100-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,33399,/car/69873682/skoda-octavia-combi-tdi-dsg-110-kw
24976,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69873563/opel-corsa-1-2-96-kw
10000,148.0,0,1,0,1,5,121.0,1498.0,1,2024,Audi,SUV / offroad,Other interior material,34699,/car/69873288/audi-q2-35-tfsi-s-tronic-advanced-110-kw
10,148.0,0,1,0,1,5,115.0,1498.0,3,2024,Cupra,Station Wagon,Cloth interior,35099,/car/69873285/cupra-leon-sportstourer-1-5-etsi-dsg-110-kw
10,71.0,0,1,0,1,4,112.0,998.0,3,2024,Toyota,SUV / offroad,Cloth interior,18349,/car/69872916/toyota-aygo-x-1-0-53-kw
24621,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69871472/opel-corsa-1-2-96-kw
10,99.0,1,1,0,1,5,129.0,1199.0,2,2024,Jeep,SUV / offroad,Cloth interior,28049,/car/69870994/jeep-avenger-1-2-74-kw
10,99.0,1,1,0,1,5,129.0,1199.0,2,2024,Jeep,SUV / offroad,Cloth interior,28049,/car/69870994/jeep-avenger-1-2-74-kw
18000,114.0,0,0,0,1,5,120.0,1496.0,1,2023,BMW,Hatchback,Other interior material,35549,/car/69870152/bmw-116d-85-kw
27201,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69869391/opel-corsa-1-2-96-kw
26962,134.0,0,0,0,1,5,123.0,1598.0,1,2022,Kia,SUV / offroad,Other interior material,26849,/car/69869219/kia-sportage-1-6-crdi-2wd-100-kw
62741,161.0,0,1,0,1,5,165.0,1497.0,3,2021,SsangYong,Coupe,Other interior material,19249,/car/69869193/ssangyong-tivoli-120-kw
22859,148.0,1,1,0,1,5,123.0,1498.0,3,2023,Škoda,SUV / offroad,Other interior material,25999,/car/69869096/skoda-karoq-1-5-tsi-act-ambition-110-kw
145000,118.0,0,0,0,1,5,117.0,1499.0,1,2020,Ford,Sedans / saloons,Other interior material,13899,/car/69868995/ford-focus-1-5-ecoblue-88-kw
35435,68.0,1,1,0,0,4,88.0,999.0,1,2023,Fiat,Hatchback,Cloth interior,13899,/car/69868890/fiat-500-1-0-51-kw
15,62.0,1,1,0,1,4,97.0,998.0,3,2024,Hyundai,Hatchback,Cloth interior,18349,/car/69868730/hyundai-i10-1-0-select-46-kw
20,138.0,0,1,0,1,5,142.0,1482.0,1,2024,Kia,Hatchback,Part leather interior,32799,/car/69867802/kia-proceed-103-kw
20,138.0,0,1,0,1,5,142.0,1482.0,1,2024,Kia,Hatchback,Part leather interior,32799,/car/69867802/kia-proceed-103-kw
